product_id,product_name,product_catgory,price
CPUCY4ALY2D,3069 CPU,component,56.65
CPUKB0LM1KY,7930 CPU,component,9464.01
CPUPZQG4AIF,3913 CPU,component,5134.93
CPUKD5UVHUI,0528 CPU,component,3603.49
CPUUNJO79P8,5226 CPU,component,9605.29
CPUPABZ1RR7,2352 CPU,component,3910.18
CPUQLEYGPB3,4489 CPU,component,8045.18
CPUA2LV70AO,3432 CPU,component,772.12
CPUK56CCYBU,0460 CPU,component,1530.20
CPUHBEOKQRQ,4017 CPU,component,6834.76
CPU1XY6T7OI,7977 CPU,component,3173.26
CPUFAAS4KRP,6889 CPU,component,9829.14
CPUHLO51WGT,5238 CPU,component,1967.15
CPUZ74Y613I,3269 CPU,component,8952.22
CPU4KDWCDZY,0390 CPU,component,7611.61
CPUVSR4A3P5,8835 CPU,component,6304.55
CPUHOH9UDYY,4559 CPU,component,5737.10
CPU4SBANQ6C,9057 CPU,component,4234.14
CPUVHSM1DWK,5654 CPU,component,8970.75
CPU8XA27VBB,4356 CPU,component,2204.14
CPU5CA3ZPU9,3129 CPU,component,4654.55
CPUA6IXTHD3,9347 CPU,component,5262.12
CPULQX4PYTQ,6917 CPU,component,4344.85
CPUN8QGEV4I,7666 CPU,component,7234.12
CPUS2BQ6G4U,7443 CPU,component,7860.77
CPU4253M32B,1561 CPU,component,6654.40
CPUKVKH937N,2787 CPU,component,1108.29
CPUGVLEFJOK,9808 CPU,component,5838.19
CPUJPLE5YR7,7266 CPU,component,7551.29
CPUD8Y8TCHB,7120 CPU,component,6129.16
CPUTBUB27KD,6702 CPU,component,2261.41
CPUHZ72EWK0,0732 CPU,component,6380.26
CPUGVM1MSWN,7464 CPU,component,8167.22
CPUUDN7WLHM,0724 CPU,component,5920.18
CPUL7PS248N,4282 CPU,component,8752.90
CPU3WT6GSW4,8750 CPU,component,2305.59
CPU68N8SQZJ,5311 CPU,component,1077.20
CPUAOBEQMIQ,7687 CPU,component,3355.56
CPU81EXMXB8,3650 CPU,component,6453.15
CPUR4TCOEV4,8970 CPU,component,2570.88
CPUKW9SH5CF,7010 CPU,component,9276.77
CPUC2TC479B,7347 CPU,component,2232.94
CPUGLFQWYG1,7182 CPU,component,3733.73
GPURN728DOQ,Golf Charlie Sierra Mike Hotel Echo Bravo Whiskey Foxtrot Uniform Juliett Yankee Delta Papa QuebecGPU,component,2912.18
GPUYLW9K95G,Alfa Golf Papa Sierra Oscar Whiskey Kilo Zulu Delta Foxtrot Bravo Quebec Echo X-ray CharlieGPU,component,5021.50
GPU7WCEJM30,Juliett Whiskey Zulu Tango India Uniform X-ray Golf Delta Foxtrot Bravo HotelGPU,component,7146.65
GPUA80MKRG5,X-ray Sierra Yankee Uniform Foxtrot Delta Juliett November Hotel Lima Kilo Alfa WhiskeyGPU,component,6364.51
GPUGBDKJ8BS,India Zulu Tango Golf Foxtrot Bravo Delta Hotel Mike Yankee Charlie Echo Uniform Lima WhiskeyGPU,component,3037.01
GPUH784LJXA,Papa Romeo India Uniform Oscar Juliett X-ray November Quebec VictorGPU,component,3231.52
GPUCD0LA16S,Zulu Tango Whiskey Echo Sierra Charlie X-ray Romeo Delta Oscar Alfa Golf YankeeGPU,component,2978.58
GPUU6OWMKTP,Foxtrot Echo Charlie Whiskey Sierra Hotel X-ray Uniform Bravo Alfa Victor Yankee Lima India Quebec Zulu Mike Kilo Delta GolfGPU,component,888.95
GPUWVSQ7SCP,Foxtrot India November Yankee Papa Hotel Alfa Sierra Mike Charlie Lima Tango Uniform Zulu Bravo Whiskey DeltaGPU,component,1513.92
GPUF0WEL4S1,Mike Oscar Sierra Yankee Victor Zulu Bravo X-ray Hotel Tango JuliettGPU,component,2689.82
GPUC34MXVOC,Bravo Uniform Whiskey Hotel Lima Quebec Mike Charlie Foxtrot JuliettGPU,component,7647.31
GPUNIAZ08NP,Papa Whiskey Yankee Kilo Delta Quebec Bravo India Alfa Romeo X-ray Golf HotelGPU,component,1961.32
GPUNV2W1YNF,Romeo Quebec Tango Alfa Uniform Papa Kilo Whiskey Foxtrot Juliett Hotel India Echo Zulu Mike Oscar Victor X-ray November CharlieGPU,component,6052.70
GPUPL6Q1X58,Victor Charlie Whiskey Echo Sierra Mike Alfa Juliett Quebec Lima Tango Uniform Golf Yankee Hotel Kilo NovemberGPU,component,7711.16
GPUFBHFWKX7,Charlie Hotel Foxtrot Juliett Romeo Alfa Zulu Yankee X-ray BravoGPU,component,2066.42
GPUTACYMX28,Bravo India X-ray Romeo Oscar Alfa Sierra Whiskey Hotel Papa ZuluGPU,component,3180.42
GPUFYQN9CM9,Alfa Uniform Quebec Sierra X-ray Delta Kilo Tango Charlie Lima Bravo Romeo Juliett Zulu Whiskey November Mike Foxtrot Papa IndiaGPU,component,9847.75
GPUPEMSTSNZ,Zulu Tango Quebec Lima Victor Romeo Golf X-ray Bravo India Foxtrot Oscar Kilo Delta Papa November Hotel EchoGPU,component,2160.45
GPUL82KNIER,Bravo Whiskey Mike India Tango Victor Lima Golf Uniform Alfa Quebec Foxtrot Charlie Oscar Juliett Zulu Romeo YankeeGPU,component,6323.60
GPU1D2PIDWK,Delta Whiskey Foxtrot Kilo Papa India Charlie Lima Mike Romeo Echo Alfa Victor JuliettGPU,component,5548.17
GPUTWPGD4J8,Echo Whiskey Juliett Foxtrot Zulu Papa Romeo Charlie Golf Uniform VictorGPU,component,3049.50
GPU7I128FVY,Whiskey Yankee November India Mike Kilo Foxtrot Delta Lima Charlie Oscar PapaGPU,component,2373.57
GPUX5PH8B85,Golf Victor Echo X-ray Whiskey Oscar Sierra Romeo Quebec Lima Alfa Bravo November Foxtrot Uniform ZuluGPU,component,4945.32
GPU9ZYP822I,Foxtrot India Charlie Lima Echo Zulu Whiskey Oscar X-ray Victor Yankee Quebec Romeo Papa Tango Mike Bravo SierraGPU,component,1924.35
GPU6LYERW21,India Quebec Zulu Tango Papa Victor Uniform Whiskey Lima Hotel Mike Foxtrot Bravo Yankee Oscar SierraGPU,component,7077.00
GPUJH4N8D80,Kilo Zulu Charlie Bravo Mike Whiskey Uniform Romeo Papa Alfa Victor Delta India Golf FoxtrotGPU,component,7585.02
GPUQIUONWS1,Juliett Kilo Alfa Romeo Papa Mike Tango Bravo Delta Foxtrot Charlie Echo Whiskey November India Uniform Lima Victor ZuluGPU,component,3714.50
GPUV4T1EYJS,Foxtrot Victor Lima Tango Sierra Hotel Romeo Golf Alfa Oscar Juliett Kilo Bravo Yankee Papa Zulu Charlie MikeGPU,component,6489.22
GPUEC9JS8SC,Kilo Quebec Tango India November Yankee Echo Bravo Mike Whiskey Uniform JuliettGPU,component,7977.66
GPU433W6SE7,India Kilo Quebec Papa Romeo Delta Hotel Oscar Foxtrot Mike Juliett X-ray Uniform Alfa Charlie Victor Tango BravoGPU,component,7845.14
GPUCFU0XJ6B,Uniform Oscar November Bravo Sierra X-ray Charlie India Juliett Victor TangoGPU,component,8475.30
GPUZR3W69BB,India Yankee Delta Foxtrot Sierra Romeo Whiskey Mike Charlie NovemberGPU,component,2092.99
GPUJEZ8NNL1,Zulu Quebec Lima Oscar Tango November Hotel Uniform Bravo MikeGPU,component,2797.54
GPUQ9KS6I9K,Echo Mike Yankee Quebec Delta Victor Zulu Bravo Papa Hotel Uniform Juliett Romeo Lima Kilo Alfa Foxtrot X-ray November TangoGPU,component,821.39
GPUBYB54I8U,Oscar November Sierra Romeo Hotel Lima Tango Echo Uniform CharlieGPU,component,1597.90
GPUAZFMPKTG,X-ray Bravo Alfa November Zulu Quebec Juliett Oscar India Kilo TangoGPU,component,9660.36
GPU5RHW4IE9,Zulu Sierra Oscar Golf Kilo Uniform Foxtrot Tango Charlie India Delta Lima Mike Alfa EchoGPU,component,5157.03
GPUNP03W4GZ,Charlie Foxtrot X-ray Sierra Oscar Victor Mike Tango Juliett India PapaGPU,component,3921.50
GPUK4B5YNEZ,Tango Foxtrot November Papa Sierra Whiskey Mike Lima Yankee Echo Uniform Zulu Delta India Victor Charlie Oscar Romeo Hotel X-rayGPU,component,3901.21
GPUSO3J1JJZ,X-ray Tango Uniform Papa Alfa Romeo Sierra India Zulu Quebec Hotel Bravo YankeeGPU,component,5936.94
GPUC67RVX29,Lima Foxtrot Golf Victor Hotel Charlie India Quebec X-ray ZuluGPU,component,6697.90
GPUYDMMCPXJ,Mike November Oscar Quebec X-ray Yankee Juliett Kilo Foxtrot Papa Victor Golf Alfa Uniform HotelGPU,component,6152.93
GPUL7LP9IVA,Juliett Whiskey Kilo Oscar Foxtrot Quebec Charlie India Sierra Echo Zulu Alfa GolfGPU,component,3857.67
GPUGM0462SB,Mike India Foxtrot Kilo Romeo Sierra Zulu Lima Victor Yankee Papa Echo Golf Oscar X-rayGPU,component,3242.59
GPU9S29JR3O,Delta November Uniform Tango Zulu Bravo Echo India Whiskey AlfaGPU,component,6206.16
GPUO4PUVTVQ,Juliett Victor Tango X-ray Uniform Golf Oscar Whiskey November SierraGPU,component,9635.75
GPUW7PZDSBU,Whiskey Mike Charlie Romeo November Kilo Foxtrot Hotel Delta Alfa Bravo Victor India Juliett Tango Papa Quebec Golf Uniform SierraGPU,component,3525.10
GPUWGH66G0B,Echo Quebec November Alfa Papa Mike Juliett Hotel Bravo Victor IndiaGPU,component,4891.83
GPUIZGEA0EE,Foxtrot Hotel Yankee Juliett Kilo Lima Delta X-ray Oscar Tango RomeoGPU,component,650.43
GPUZPCOH3GP,Juliett Quebec Delta Whiskey Romeo Charlie X-ray Alfa Mike Papa Uniform November Victor Oscar Tango Kilo ZuluGPU,component,7073.59
GPU744PJ0I7,Quebec Kilo Delta Papa Yankee Romeo Tango Alfa Victor Sierra Charlie Lima Foxtrot India Whiskey Hotel NovemberGPU,component,4042.73
GPUG7K998P9,Golf Tango Bravo Yankee Whiskey Oscar Mike Echo Lima Delta Zulu Romeo Alfa November Charlie Hotel Kilo QuebecGPU,component,2591.79
GPUS7NAUYSB,Juliett Kilo India X-ray Yankee Whiskey Lima Uniform Alfa Delta Sierra Papa Quebec Golf Victor CharlieGPU,component,7379.91
GPUZ1NZMZNR,Golf Hotel Sierra Lima Bravo Charlie Zulu Quebec India Juliett Oscar Delta X-ray Uniform Kilo Foxtrot Echo Whiskey TangoGPU,component,9538.86
GPU0BE0ZYHM,Zulu Victor Yankee Papa Sierra November Tango Romeo Bravo Kilo Oscar Echo Mike India Whiskey DeltaGPU,component,4011.73
GPU7E55CN41,Yankee Tango Oscar Kilo Sierra Delta November Charlie Bravo Zulu Romeo Quebec Lima Foxtrot MikeGPU,component,9405.50
GPUAZDZ5PEL,Zulu Victor Lima Yankee Bravo Oscar Sierra Papa Alfa Uniform Echo Tango Delta India Whiskey November Charlie KiloGPU,component,2996.07
GPU2WSM7G6T,Charlie Kilo Papa Echo Foxtrot Juliett Delta Sierra Alfa Golf India Lima Romeo Mike Zulu November WhiskeyGPU,component,4351.13
GPU7B285HNJ,Delta Tango Juliett Mike India Lima Yankee Uniform Hotel Zulu Golf Whiskey Sierra OscarGPU,component,502.65
GPU8FO0QKSB,Romeo Lima Kilo Victor Oscar Quebec November Foxtrot Yankee Bravo Alfa Delta Sierra X-ray Mike Echo Papa Golf Whiskey IndiaGPU,component,5308.63
GPUFLKJPZIE,Yankee Delta Oscar Sierra Mike Hotel Juliett Bravo Lima Alfa X-ray Golf Foxtrot Whiskey Charlie Papa India Romeo Tango EchoGPU,component,3742.52
GPU0XDEM70W,Alfa Tango Mike Golf Echo Victor X-ray Bravo Charlie Quebec Foxtrot Kilo November Sierra Yankee India Juliett Whiskey Zulu UniformGPU,component,3081.11
GPUAVW424G3,Papa Quebec Mike Tango Whiskey Lima Alfa Echo Victor Juliett Hotel Sierra Golf India Delta Yankee Zulu Kilo Bravo X-rayGPU,component,546.12
GPU2147KNCS,Charlie Delta Zulu Hotel Echo Sierra Oscar Juliett Quebec Mike Kilo Tango November Whiskey Victor X-ray Yankee Romeo Alfa GolfGPU,component,5728.74
GPUG10T5Y8O,Zulu Charlie Papa Kilo India November Quebec Yankee Bravo Delta Hotel X-rayGPU,component,4513.69
GPU7QBP98PS,Golf Kilo Charlie Alfa Echo X-ray Mike Foxtrot Whiskey PapaGPU,component,6060.43
GPU815EIXCH,Whiskey Hotel Romeo Charlie Golf Juliett Delta Papa Zulu FoxtrotGPU,component,4836.04
GPUYL21V259,Victor Mike Uniform Kilo Papa Foxtrot November Yankee Hotel Romeo Quebec Delta India X-ray Tango Sierra Oscar LigmaGPU,component,8377.17
GPU6JNH1V8J,Hotel Yankee Uniform Whiskey Victor India Kilo Oscar Charlie RomeoGPU,component,8005.02
GPUZUBNC6CD,Hotel Tango Mike Juliett Echo X-ray Oscar Victor Bravo Golf Lima Zulu Sierra AlfaGPU,component,4286.05
GPU528KZ2TG,Echo Golf Whiskey Foxtrot Hotel Sierra Delta Yankee Quebec AlfaGPU,component,4655.02
GPUXQOMHT1B,Oscar Zulu November Alfa Romeo Golf India Lima Foxtrot HotelGPU,component,5507.37
GPUL6RKEV4D,Charlie Lima Whiskey Delta Papa Hotel Zulu Victor X-ray Yankee Foxtrot QuebecGPU,component,8511.93
GPUY9IKNTMY,Romeo Lima Uniform Oscar November Echo Bravo Charlie Alfa Sierra Kilo Quebec Golf Foxtrot WhiskeyGPU,component,5667.25
GPUEIDJMB0O,Papa Sierra Lima Echo Golf Mike Victor Romeo Bravo ZuluGPU,component,8511.08
GPUA0AHM397,Mike Romeo Lima Tango Uniform Alfa Bravo Juliett Quebec Yankee Echo Zulu India Foxtrot Sierra X-rayGPU,component,6724.67
GPUCZ7LBLU6,Kilo Oscar Uniform India Foxtrot Zulu X-ray Hotel Sierra Mike Yankee AlfaGPU,component,5864.38
GPUJATQXXS4,Papa Alfa Whiskey Tango Zulu Romeo Foxtrot Echo Mike BravoGPU,component,559.12
GPUCLORZZQT,Zulu Kilo Papa Golf Romeo Charlie Bravo Oscar Delta Victor Whiskey Mike Quebec Lima November IndiaGPU,component,9401.03
GPUAK222AY5,Oscar Mike Uniform Echo Hotel Lima Quebec India Sierra Juliett Victor Foxtrot November Delta BravoGPU,component,4683.09
GPUKMQBT71F,Juliett Tango Yankee Oscar Zulu Mike Charlie Kilo Romeo Papa WhiskeyGPU,component,5252.91
GPUWMRZ7HMV,Romeo Delta Alfa India Papa Whiskey Foxtrot November Golf SierraGPU,component,9028.79
GPUMC5GFURL,Zulu Sierra Kilo Oscar Tango Echo Juliett Foxtrot Hotel Bravo X-ray PapaGPU,component,1211.73
GPU34L8CHU5,Whiskey Lima Tango Romeo Juliett Hotel Bravo November Kilo Echo Yankee Papa Quebec MikeGPU,component,2261.14
GPUPJ3HESBN,Whiskey November Uniform Bravo Zulu Echo Delta X-ray Papa Tango Quebec Sierra Yankee Mike Alfa KiloGPU,component,4602.29
GPUF3668WFR,Sierra Delta Romeo Kilo Zulu Juliett Charlie Uniform Hotel Whiskey VictorGPU,component,5334.37
GPU71IPOD86,Juliett Whiskey X-ray Hotel Victor Mike Oscar Zulu Tango India Papa Romeo Bravo KiloGPU,component,3572.69
GPULL6ZJA37,Tango Hotel November Whiskey Echo Sierra India Juliett Bravo Quebec Charlie Zulu Romeo Foxtrot Uniform Mike Kilo Papa Victor YankeeGPU,component,6444.23
GPU41FI2969,Sierra Foxtrot India November Oscar Quebec Romeo Bravo Golf Alfa Delta Uniform X-ray Juliett Tango Zulu KiloGPU,component,2432.30
GPUHINX8DC3,Kilo November Echo Hotel Foxtrot Victor Sierra Charlie India Whiskey Mike X-ray Uniform Oscar ZuluGPU,component,3499.09
GPUGH1IRW5A,Whiskey India Juliett Yankee Mike Quebec Hotel Victor Bravo Oscar Golf Foxtrot Charlie Echo Zulu KiloGPU,component,5762.81
GPUSUW06ZPX,Yankee Juliett Sierra Uniform Quebec Foxtrot Alfa Victor Zulu November Whiskey Delta Echo Papa Mike Romeo Charlie TangoGPU,component,9625.80
GPUEKW8B9GV,Lima India Kilo Zulu Romeo Tango Bravo Oscar Hotel Whiskey Yankee Papa Delta JuliettGPU,component,2545.44
GPUT6BTGV9V,India Hotel Yankee Kilo Papa Charlie Victor Lima Echo FoxtrotGPU,component,9435.60
GPUPLH1THMJ,Echo Sierra Delta Romeo Foxtrot Uniform Alfa Juliett Quebec Hotel Tango Lima Golf X-rayGPU,component,4661.86
GPUH02AKZVF,Oscar Bravo Victor Foxtrot Uniform Whiskey X-ray Juliett Romeo Golf Tango November Hotel QuebecGPU,component,8724.77
GPUBW7PI7LA,X-ray Oscar Charlie Foxtrot India Juliett Quebec Bravo Alfa Victor Uniform HotelGPU,component,7347.38
GPUP29WU6RP,Uniform Bravo Yankee Quebec X-ray Foxtrot Alfa Oscar Tango Lima GolfGPU,component,3940.79
GPU5VJDV33Q,Golf X-ray Foxtrot Alfa Charlie Lima Hotel Echo Delta Quebec WhiskeyGPU,component,3156.39
GPU1BOKLVKE,Echo Sierra Kilo Hotel Whiskey Bravo Golf X-ray India Alfa Lima Quebec Victor NovemberGPU,component,2858.22

